phrase,label,source
Friends 'till the end,0,unknown
Mass enemy damage at a cost,1,unknown
Reusable ranged bomb,0,unknown
Reusable soul protection,0,unknown
Book of Secrets,0,unknown
Tome of knowledge,0,unknown
Box of Spiders,0,unknown
It's a box of spiders,0,unknown
Breath of Life,0,unknown
Invincibility at a cost,0,unknown
Crack the Sky,1,unknown
Holy white death,1,unknown
holy death,1,unknown
holy water,0,unknown
holy ground,0,unknown
holy day,0,unknown
death of a project,0,unknown
death of the old ways,0,unknown
near death,0,unknown
life and death,0,unknown
white death,0,unknown
holy white,0,unknown
holy death is at hand,1,unknown
I see my future,0,unknown
Reroll the basics,0,unknown
Reroll into something else,0,unknown
Opens all doors...,0,unknown
It's a mystery,0,unknown
Deck of Cards,0,unknown
Reusable card generator,0,unknown
Reusable air strike,0,unknown
Forget Me Now,1,unknown
I don't remember...,0,unknown
Reusable fly hive,0,unknown
Head of Krampus,0,unknown
How to Jump,0,unknown
It's time you learned how,0,unknown
Portable blood bank,1,unknown
Pay to win,0,unknown
Mom's Bottle of Pills,0,unknown
Reusable pill generator,0,unknown
Temporary buddy generator,0,unknown
Reusable bomb buddy,0,unknown
My Little Unicorn,0,unknown
Rocks don't stand a chance,0,unknown
Feel my pain,1,unknown
Remote bomb detonation,0,unknown
Reusable evil... but at what cost?,1,unknown
Lose your head,1,unknown
Mass enemy slowdown + damage,1,unknown
Reusable tear burst,0,unknown
Telepathy For Dummies,0,unknown
Temporary psychic shot,0,unknown
Toot on command,0,unknown
The Book of Belial,0,unknown
Temporary DMG up,0,unknown
The Book of Sin,1,unknown
Reusable item generator,0,unknown
It will never leave you,1,unknown
Reroll your destiny,1,unknown
Temporary enemy slowdown,0,unknown
Save your life,0,unknown
Temporary demon form,1,unknown
Mass room damage,1,unknown
The Pinking Shears,0,unknown
You feel stumped,0,unknown
We Need To Go Deeper!,0,unknown
Reusable level skip,0,unknown
Flight + holy death,0,unknown
Box of Friends,0,unknown
Double your friends,0,unknown
Double item vision,0,unknown
Gotta fetch 'em all!,0,unknown
Turn back time,0,unknown
Jar of Flies,0,unknown
Remote tear detonation!,0,unknown
Flip a coin,0,unknown
Nothing can escape,1,unknown
Book of the Dead,1,unknown
Rise from the grave,1,unknown
It feels cursed,1,unknown
Gain more friends!,0,unknown
Allow 6 weeks for delivery,0,unknown
What will it be?,0,unknown
Unleash the power!,1,unknown
I feel numb...,1,unknown
Waggles a finger,0,unknown
Lost but not forgotten,1,unknown
Pack and unpack,0,unknown
Wrapped up nice for you!,0,unknown
My last resort,1,unknown
A pound of flesh,1,unknown
He demands a sacrifice,1,unknown
Power of the mind,0,unknown
I can't believe it's not butter bean!,0,unknown
Come forth from the depths,1,unknown
A sacred offering,1,unknown
Bag of Crafting,0,unknown
Make your destiny,1,unknown
Rip and tear,1,unknown
Book of Virtues,0,unknown
Broken Glass Cannon,0,unknown
You broke it!,0,unknown
A king's fortune... but at what cost?,1,unknown
One with the shadows,1,unknown
Where am I?,0,unknown
Erase thy enemy,1,unknown
Anything is possible,0,unknown
Twist of fate,0,unknown
Best friends forever!,0,unknown
In the beginning,0,unknown
Pain from gain,1,unknown
Saved for later,0,unknown
Jar of Wisps,0,unknown
Your faith grows,0,unknown
Hear my pain,1,unknown
All your desires fulfilled,1,unknown
Slice but no dice,0,unknown
I'm a big boy now!,0,unknown
Time to start over,0,unknown
Explore the other side,0,unknown
Open your enemies,1,unknown
Spin to Win,0,unknown
Let it rip!,0,unknown
Bait and switch,0,unknown
Temporary demon form,1,unknown
Blood to blood,1,unknown
Urn of Souls,0,unknown
Unleash their sorrow,1,unknown
Tears up. A mind changing experience!,0,unknown
The Sad Onion,0,unknown
The Inner Eye,0,unknown
Boomerang tears + DMG up + luck down,0,unknown
Tears up + range down,0,unknown
Blood of the Martyr,0,unknown
Friends 'till the end,0,unknown
Halo of Flies,0,unknown
All stats up!,0,unknown
Poison touch + speed up,0,unknown
Speed and range up,0,unknown
We all float down here...,1,unknown
The end is near,1,unknown
Wire Coat Hanger,0,unknown
Full visible map,0,unknown
Eye in the back of your head,0,unknown
Charm of the Vampire,1,unknown
DMG up + kills heal,0,unknown
Friends 'till the end,0,unknown
Cube of Meat,0,unknown
Gotta meat 'em all!,0,unknown
I've seen everything,0,unknown
Lord of the Pit,1,unknown
The Small Rock,0,unknown
Sack of Pennies,0,unknown
Money = Power,1,unknown
Stab stab stab,1,unknown
Blood laser barrage,0,unknown
Whore of Babylon,0,unknown
Bucket of Lard,0,unknown
A Lump of Coal,0,unknown
My Xmas present,0,unknown
More trinket room,0,unknown
Ultimate grand supreme,0,unknown
Pray for a miracle,1,unknown
They grow inside me,1,unknown
Spirit of the Night,0,unknown
Blessing of protection,0,unknown
On-demand air strike,0,unknown
My fate protects me,1,unknown
Blessing of purity,0,unknown
Toot on touch,0,unknown
3 Dollar Bill,0,unknown
Mom's Coin Purse,0,unknown
What's all this...?,0,unknown
1+1 free 4Evar,0,unknown
Filled with goodies,0,unknown
Infinite charge... at a cost,1,unknown
DMG + tears up. An out-of-body experience!,1,unknown
Ball of Bandages,0,unknown
Gotta lick 'em all!,0,unknown
He accepts your offering,0,unknown
Regeneration + HP up,0,unknown
My life savings,0,unknown
Ball of Tar,0,unknown
Let's slow this down a bit...,0,unknown
Some stats up some stats down,0,unknown
Contract From Below,1,unknown
Wealth... but at what cost?,1,unknown
Blocks damage... sometimes,0,unknown
You feel guarded,1,unknown
Your friends rule!,0,unknown
Giant spiders and flies,0,unknown
Evil up. Your enemies will pay!,1,unknown
We worked out all the kinks,0,unknown
Big Beautiful Fly,0,unknown
He wants to take your life,1,unknown
She loves you,0,unknown
You feel refreshed and protected,0,unknown
You feel dead,1,unknown
You feel broken like never before,1,unknown
Trail of tears,1,unknown
Cursed charge shot,0,unknown
Toxic splash damage,0,unknown
Cain's Other Eye,0,unknown
???'s Only Friend,0,unknown
I know all,0,unknown
I feel all,0,unknown
I am all,0,unknown
Toxic aura tears,0,unknown
I think my heart... it's broken forever,1,unknown
Active power up,0,unknown
Double wiz shot!,0,unknown
8 Inch Nails,0,unknown
Stick it to 'em!,0,unknown
Your fate beside you,0,unknown
What's in the box?,0,unknown
We put bombs in your bombs!,0,unknown
Egg sack bombs!,0,unknown
Curse of the Tower,0,unknown
Accuracy brings power!,0,unknown
Holy death shot,0,unknown
Never ending stores!,0,unknown
Pay To Play,0,unknown
A gurd of your own!,0,unknown
Bumbo want coin!,0,unknown
Peace be with you,0,unknown
He wants your keys!,0,unknown
Turn your enemy,1,unknown
The heavens will change you,1,unknown
The kiss of death,1,unknown
Laser ring tears,0,unknown
Maw Of The Void,1,unknown
Consume thy enemy!,1,unknown
Spear Of Destiny,0,unknown
Sticky bomb shot!,0,unknown
Double tap glitch,0,unknown
Aura stat boost,0,unknown
Call to the void,1,unknown
I reward an empty vessel,0,unknown
Their blood brings rage!,1,unknown
Feed them hate,1,unknown
Feed them love,0,unknown
Crown Of Light,0,unknown
The untainted gain power,1,unknown
Spin the black circle!,1,unknown
Circle of Protection,0,unknown
Protect me from myself,1,unknown
Scared of the dark?,1,unknown
Follows my every move...,1,unknown
