phrase,label,confidence,source
none can escape me,1,0.962,LoL/Mordekaiser
naive men pray to the gods they will learn to pray to me,1,0.973,LoL/Mordekaiser
i carve my kingdom beyond from the ashes of nothing no mortals not even gods will stop me from claiming what is mine,1,0.992,LoL/Mordekaiser
the world has tried to forget my existence time to remind them why they fear,1,0.989,LoL/Mordekaiser
i have bent the realm of the dead to my will this world shall be next,1,0.993,LoL/Mordekaiser
in the world beyond blackened ichor filled a crumbling sky as souls withered to nothing but i refused to fade,1,0.992,LoL/Mordekaiser
i alone am the bastion between eternal existence and oblivion,1,0.992,LoL/Mordekaiser
soon nightfall shall feast,1,0.98,LoL/Mordekaiser
every soul shall serve,1,0.975,LoL/Mordekaiser
i march towards endless glory,1,0.925,LoL/Mordekaiser
fools fear death the strong wield it,1,0.992,LoL/Mordekaiser
i raise my iron fist to subjugate the living,1,0.99,LoL/Mordekaiser
the ungrateful call me tyrant the wise call me lord,1,0.988,LoL/Mordekaiser
mortals plan in fear for tomorrow i build for eternity,1,0.993,LoL/Mordekaiser
the unworthy are dust doomed to wither and fade,1,0.991,LoL/Mordekaiser
i forged nightfall from mortal terror,1,0.992,LoL/Mordekaiser
only the worthy receive the gift of nightfalls kiss,1,0.977,LoL/Mordekaiser
malice never wanes,1,0.985,LoL/Mordekaiser
let the foolish curse me,1,0.989,LoL/Mordekaiser
ah life is a bitter shame,1,0.987,LoL/Mordekaiser
lives are temporary i stand eternal,1,0.988,LoL/Mordekaiser
the dead belong to me the living shall be next,1,0.992,LoL/Mordekaiser
shed the frailty of flesh embrace the cold edge of iron,1,0.993,LoL/Mordekaiser
twice slain thrice born,1,0.988,LoL/Mordekaiser
all will bend their knee in fear and fealty,1,0.977,LoL/Mordekaiser
i will grind their petty souls into mortar,1,0.991,LoL/Mordekaiser
weaklings cower in the light i bring eternal darkness,1,0.992,LoL/Mordekaiser
i will silence the incessant thrum of mortal hearts,1,0.986,LoL/Mordekaiser
i sunder the natural cycle so that all may be preserved,1,0.936,LoL/Mordekaiser
i left the husk of mortality behind,1,0.968,LoL/Mordekaiser
all mortals reek with the stench of decaying flesh,1,0.988,LoL/Mordekaiser
all will die all will be mine,1,0.99,LoL/Mordekaiser
their gods cannot save them from me,1,0.986,LoL/Mordekaiser
flesh constrains iron liberates,1,0.992,LoL/Mordekaiser
all souls are forfeit,1,0.983,LoL/Mordekaiser
so many blunder on with a false sense of purpose i shall sunder them from their lies,1,0.988,LoL/Mordekaiser
the din of the living world the silence of the hereafter i rule it all,1,0.991,LoL/Mordekaiser
