phrase,label,source
'Destiny. Domination. Deceit.',,LoL/Mordekaiser
'None can escape me.',,LoL/Mordekaiser
'Naive men pray to the gods; they will learn to pray to me.',,LoL/Mordekaiser
"'I carve my kingdom beyond, from the ashes of nothing, no mortals, not even gods, will stop me from claiming what is mine.'",,LoL/Mordekaiser
"'The world has tried to forget my existence, time to remind them why they fear.'",,LoL/Mordekaiser
"'I have bent the realm of the dead to my will, this world shall be next.'",,LoL/Mordekaiser
"'In the world beyond, blackened ichor filled a crumbling sky, as souls withered to nothing. But I refused to fade.'",,LoL/Mordekaiser
'I alone am the bastion between eternal existence and oblivion.',,LoL/Mordekaiser
"'Soon, Nightfall shall feast.'",,LoL/Mordekaiser
'Every soul shall serve.',,LoL/Mordekaiser
'I march towards endless glory.',,LoL/Mordekaiser
"'Fools fear death, the strong wield it.'",,LoL/Mordekaiser
'I raise my iron fist to subjugate the living.',,LoL/Mordekaiser
'I promise eternity.',,LoL/Mordekaiser
"'The ungrateful call me tyrant, the wise call me lord.'",,LoL/Mordekaiser
"'Mortals plan in fear for tomorrow, I build for eternity.'",,LoL/Mordekaiser
"'The unworthy are dust, doomed to wither and fade.'",,LoL/Mordekaiser
'I forged Nightfall from mortal terror.',,LoL/Mordekaiser
'Only the worthy receive the gift of Nightfall's kiss.',,LoL/Mordekaiser
'Malice never wanes.',,LoL/Mordekaiser
'Let the foolish curse me.',,LoL/Mordekaiser
"'Ah, life is a bitter shame.'",,LoL/Mordekaiser
"'Lives are temporary, I stand eternal.'",,LoL/Mordekaiser
"'The dead belong to me, the living shall be next.'",,LoL/Mordekaiser
"'Shed the frailty of flesh, embrace the cold edge of iron.'",,LoL/Mordekaiser
"'Twice slain, thrice born.'",,LoL/Mordekaiser
'All will bend their knee in fear and fealty.',,LoL/Mordekaiser
'I will grind their petty souls into mortar.',,LoL/Mordekaiser
"'Weaklings cower in the light, I bring eternal darkness.'",,LoL/Mordekaiser
'I will silence the incessant thrum of mortal hearts.',,LoL/Mordekaiser
'Death does not tire.',,LoL/Mordekaiser
"'I sunder the natural cycle, so that all may be preserved.'",,LoL/Mordekaiser
'I left the husk of mortality behind.',,LoL/Mordekaiser
'All mortals reek with the stench of decaying flesh.',,LoL/Mordekaiser
"'All will die, all will be mine.'",,LoL/Mordekaiser
"'Their gods cannot save them, from me.'",,LoL/Mordekaiser
"'Flesh constrains, iron liberates.'",,LoL/Mordekaiser
'All souls are forfeit.',,LoL/Mordekaiser
"'So many blunder on with a false sense of purpose, I shall sunder them from their lies.'",,LoL/Mordekaiser
"'The din of the living world, the silence of the hereafter, I rule it all.'",,LoL/Mordekaiser
"'Once I suffered a mortal body, now I am iron incarnate.'",,LoL/Mordekaiser
"'Some fear me, others worship at my feet, all will serve.'",,LoL/Mordekaiser
"'I am surrounded by weak and petty souls, clinging to flesh.'",,LoL/Mordekaiser
"'Resist or give in, your end is the same.'",,LoL/Mordekaiser
'You will be far more useful in death.',,LoL/Mordekaiser
'Your false gods cannot save you.',,LoL/Mordekaiser
"'You claim strength, Darius? Prove it.'",,LoL/Mordekaiser
'Pathetic glory seeker.',,LoL/Mordekaiser
